2023-08-01 10:46:06.1054 | INFO | Authenticate - POST | http://localhost/api/authenticate/register # User teja has been created with role as Member > HTTP 200 - OK #  
2023-08-01 10:46:34.5152 | WARN | Authenticate - POST | http://localhost/api/authenticate/login # Invalid password for user 339abf29-5618-4dc1-9d13-5a9b72b71453. #  
2023-08-01 10:46:34.5152 | WARN | Authenticate - POST | http://localhost/api/authenticate/login # User 339abf29-5618-4dc1-9d13-5a9b72b71453 provided the wrong password > HTTP 401 - Unauthorized #  
2023-08-01 10:46:49.2506 | INFO | Authenticate - POST | http://localhost/api/authenticate/login # User refresh token has been created > HTTP 200 - OK #  
2023-08-01 10:46:58.5599 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2023-08-01 10:46:58.5930 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2023-08-01 10:46:58.6768 | INFO | User - GET | http://localhost/api/user/info/339abf29-5618-4dc1-9d13-5a9b72b71453 # User with ID 339abf29-5618-4dc1-9d13-5a9b72b71453 have been retrieved OK #  
2023-08-01 10:47:00.8811 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2023-08-01 10:47:00.9138 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2023-08-01 10:47:00.9537 | INFO | User - GET | http://localhost/api/user/info/339abf29-5618-4dc1-9d13-5a9b72b71453 # User with ID 339abf29-5618-4dc1-9d13-5a9b72b71453 have been retrieved OK #  
2023-08-01 10:47:58.2182 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2023-08-01 10:47:58.2867 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2023-08-01 10:47:58.3440 | INFO | Booking - GET | http://localhost/api/booking/Member/339abf29-5618-4dc1-9d13-5a9b72b71453/all # Member 339abf29-5618-4dc1-9d13-5a9b72b71453's Booking History have been retrieved > HTTP 200 - OK #  
2023-08-01 11:03:20.7662 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2023-08-01 11:03:20.8024 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2023-08-01 11:03:20.8281 | INFO | User - GET | http://localhost/api/user/info/339abf29-5618-4dc1-9d13-5a9b72b71453 # User with ID 339abf29-5618-4dc1-9d13-5a9b72b71453 have been retrieved OK #  
2023-08-01 11:03:43.3560 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2023-08-01 11:03:43.3863 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2023-08-01 11:03:43.4175 | INFO | User - GET | http://localhost/api/user/info/339abf29-5618-4dc1-9d13-5a9b72b71453 # User with ID 339abf29-5618-4dc1-9d13-5a9b72b71453 have been retrieved OK #  
2023-08-01 11:06:34.2410 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2023-08-01 11:06:34.2696 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2023-08-01 11:06:34.4238 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2023-08-01 11:06:34.4302 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2023-08-01 11:06:34.4632 | INFO | Schedule - GET | http://localhost/api/schedule/All/3 # Restaurant schedules have been retrieved OK #  
2023-08-01 11:06:41.8005 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2023-08-01 11:06:41.8122 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2023-08-01 11:06:41.8732 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2023-08-01 11:06:41.8857 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2023-08-01 11:06:41.9108 | INFO | Schedule - GET | http://localhost/api/schedule/All/3 # Restaurant schedules have been retrieved OK #  
2023-08-01 11:06:47.0660 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2023-08-01 11:06:47.0660 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2023-08-01 11:06:47.1350 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2023-08-01 11:06:47.1426 | INFO | Authenticate - POST | http://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
